QC-1,QC-2,QC-3,QC-4,QC-5,QC-6,QC-7,QC-8
71530587,72988999,75199878,71486075,65924835,68758210,68855260,68124833
975379,1033106,995675,916372,916731,806387,822592,973166
78170,79583,78192,80992,89591,89520,103847,71759
3269894,3566847,3459159,3418302,3439728,3404707,3419657,3398638
1447410,1480317,1497564,1526371,1523265,1405932,1579874,1422179
6422455,6486723,4650226,4006292,4573885,4466374,4918794,6144746
64357,67290,54902,63517,65411,56668,59136,66409
12919719,14924446,6419913,14083090,10953968,5064780,10951969,9169176
800945,582757,365892,279704,265181,214671,264214,235122
2553895,2322349,2239919,1986882,2132623,1951529,2093876,1732468
337075,273569,245498,210239,234693,223028,238211,233031
1263022580,1241972872,1198729316,1229038550,1234548858,1212167145,1230260986,1207222803
283335,307265,319549,302959,277763,293516,278560,262318
107724430,109027734,99551682,103168061,104106864,104373801,98672015,110329902
537387,570182,536968,583847,522282,602704,613005,603027
73484,83127,72433,115745,137069,79769,109460,96399
223546,213426,225890,502656,503893,245894,555760,459799
751936,758407,770887,549583,260651,513125,558512,180842
223707,213826,218252,204964,198559,204988,197631,198104
2088695,2127547,2122489,2228407,2284778,2095200,2401250,2241631
390802,447134,387526,388007,389815,391603,448713,361762
14807651,14166938,17482561,14821139,14639715,15040862,14123433,14349486
3367222,3454212,4284498,4189608,2658982,2806506,3019294,3197503
1765525,1644506,883167,4190,3956,3050,3806,3800
886944,937648,796511,906524,915742,953026,875688,745812
115440,149774,144375,141218,176189,159900,159593,135368
20999,45545,40547,37971,51290,77822,46672,34903
484900,676624,611635,650780,434452,520489,373052,393247
9419183,11390103,10731519,10505435,10291980,10762830,10267393,10018981
26978432,24123878,22902743,21670879,22021168,20923301,21665007,21922480
9949634,10242883,9367378,8496433,8643904,8291277,8718485,8579190
148132,50007,39420,46204,41819,35282,53733,43746
4483139,5131379,5271366,4562905,4477219,3915242,4242500,4587757
8673718,8628721,7935827,8128714,7563897,8248307,8187722,7974050
1062594,1084772,1070633,1145424,1078315,994653,1036009,1131337
191381,199384,161839,178776,170196,195896,215558,178293
4279881,4308200,4159876,4237820,4256045,4449465,4207376,4362468
1605075,1769593,1788780,1649038,1924615,1826363,1940046,1845216
3972202,4066263,3944355,3529476,3882166,3997601,4409402,3479159
111826,113311,91832,113167,135884,94784,146044,119898
3828968,4375750,4183269,4533853,4271673,4217496,4287478,4499188
75316848,70928067,69098545,69258023,68538918,68199937,67782835,70962460
1167982,1080107,1051692,950265,966585,967303,997673,916288
14407,36775,37215,30675,11865,28016,33261,29569
165304,142289,154473,139791,156068,147444,132823,155790
215286,238754,230002,226979,242142,227173,240576,226481
1605075,1769593,1788780,1649038,1924615,1826363,1940046,1845216
1591960,1604165,1608505,1435425,1532912,1402029,1404677,1540434
8150152,4657564,9080113,11153066,4707625,2302578,1865105,1793920
688443,672525,686618,628100,651774,671900,659724,674716
2593857,2676865,2722241,2684673,2806083,2571944,2708513,2719166
65304,57652,58012,55673,58917,68689,57867,62933
837960,491015,691442,523356,413384,469778,524394,492827
1651777,1909415,1846546,1632898,2037763,2099082,2145156,2082335
594370,633395,685889,574195,651242,96690,624542,641395
